Order_ID,Date,Month,Quarter,Product,Category,City,Units_Sold,Cost_Per_Unit,Selling_Price_Per_Unit,Discount_Pct,Total_Cost,Revenue,Profit,Profit_Margin_Pct,Stock_Available,Stock_Status,Customer_Type,Sales_Rep,Payment_Mode,Rating,Profit_Status,Discount_Category
TZ1000,2024-10-16,October,Q4,Desktop PC,Computing,Mumbai,5,41049,46628,5,205245,345513.48,140268.48,40.6,57,Adequate,New,Meera,EMI,3.6,Profitable,Low Discount
TZ1001,2024-03-08,March,Q1,Laptop,Computing,Mumbai,2,49328,60247,0,98656,144592.8,45936.8,31.77,45,Adequate,New,Meera,EMI,4.1,Profitable,No Discount
TZ1002,2024-04-04,April,Q2,Refrigerator,Appliances,Bangalore,1,28463,68753,20,28463,55002.4,26539.4,48.25,31,Adequate,Returning,Priya,Credit Card,4,Profitable,Medium Discount
TZ1003,2023-12-11,December,Q4,Desktop PC,Computing,Mumbai,7,31338,55526,10,219366,545709.53,326343.53,59.8,48,Adequate,Returning,Rahul,UPI,4.3,Profitable,Low Discount
TZ1004,2024-01-23,January,Q1,Desktop PC,Computing,Hyderabad,5,48700,69837,5,243500,248794.31,5294.31,2.13,55,Adequate,New,Rahul,Credit Card,4.7,Profitable,Low Discount
TZ1005,2023-03-23,March,Q1,Smartphone,Mobile,Mumbai,7,17108,39714,10,119756,300237.84,180481.84,60.11,7,Critical,Returning,Amit,Credit Card,4.5,Profitable,Low Discount
TZ1006,2024-12-19,December,Q4,Washing Machine,Appliances,Mumbai,5,35806,30215,10,179030,212109.3,33079.3,15.6,20,Low,Returning,Sneha,Debit Card,5,Profitable,Low Discount
TZ1007,2024-10-17,October,Q4,Air Conditioner,Appliances,Hyderabad,2,46252,35665,10,92504,62592.08,-29911.92,-47.79,12,Low,Returning,Sneha,Debit Card,3.6,Loss,Low Discount
TZ1008,2024-08-03,August,Q3,Air Conditioner,Appliances,Bangalore,2,57717,57928,20,115434,101953.28,-13480.72,-13.22,19,Low,Returning,Priya,Credit Card,3.7,Loss,Medium Discount
TZ1009,2024-07-05,July,Q3,Smartwatch,Mobile,Hyderabad,7,12560,10543,10,87920,54797.24,-33122.76,-60.45,9,Critical,New,Vikram,UPI,3.6,Loss,Low Discount
TZ1010,2023-02-18,February,Q1,Desktop PC,Computing,Delhi,3,52666,71086,0,157998,234583.8,76585.8,32.65,34,Adequate,Returning,Vikram,UPI,4.3,Profitable,No Discount
TZ1011,2024-07-20,July,Q3,Laptop,Computing,Mumbai,5,77006,67293,0,385030,444133.8,59103.8,13.31,28,Adequate,Returning,Priya,UPI,3.5,Profitable,No Discount
TZ1012,2023-09-27,September,Q3,Bluetooth Speaker,Audio,Delhi,9,1871,6389,5,16839,60088.54,43249.54,71.98,19,Low,Returning,Priya,EMI,4.9,Profitable,Low Discount
TZ1013,2024-06-27,June,Q2,Laptop,Computing,Hyderabad,6,67021,46276,0,402126,208242,-193884,-93.11,33,Adequate,Returning,Priya,Cash,3.9,Loss,No Discount
TZ1014,2024-08-03,August,Q3,Desktop PC,Computing,Mumbai,8,29535,66911,5,236280,671251.15,434971.15,64.8,18,Low,Loyal,Sneha,EMI,3.7,Profitable,Low Discount
TZ1015,2024-06-24,June,Q2,Refrigerator,Appliances,Chennai,2,53343,68211,10,106686,104362.83,-2323.17,-2.23,55,Adequate,Returning,Sneha,Debit Card,4.2,Loss,Low Discount
TZ1016,2024-06-13,June,Q2,Headphones,Audio,Mumbai,4,5181,3049,10,20724,13171.68,-7552.32,-57.34,11,Low,Loyal,Vikram,Credit Card,4.4,Loss,Low Discount
